id,hu16,ohu16,pohu16,vac16,pvac16,own16,pown16,rentoc16,prentoc16,mhmval16,mgrent16,mrent16,mhmval16a17,mgrent16a17,mrent16a17
37063000101,1398,1206,86.3,192,13.7,696,57.7,510,42.3,132700,695,519,135416.8222371203,709.2290237739157,529.6257026455572
37063000102,2125,1874,88.2,251,11.8,705,37.6,1169,62.4,153900,735,569,157050.85864576348,750.0479603939972,580.649373420659
37063000200,1394,1287,92.3,107,7.7,523,40.6,764,59.4,206700,702,556,210931.85498427105,716.3723376824299,567.3832190191325
37063000301,1236,1186,96.0,50,4.0,323,27.2,863,72.8,164400,755,640,167765.82950853487,770.4574287040379,653.1029859213037
37063000302,1780,1675,94.1,105,5.9,771,46.0,904,54.0,297000,828,694,303080.604404105,844.9519880356866,708.2085503584136
37063000401,1372,1361,99.2,11,0.8,1024,75.2,337,24.8,261300,1086,945,266649.70347068226,1108.234129235212,964.347377649425
37063000402,1207,1064,88.2,143,11.8,308,28.9,756,71.1,260900,1099,1000,266241.51410448144,1121.5002836367387,1020.4734155020369
37063000500,1704,1515,88.9,189,11.1,311,20.5,1204,79.5,140500,761,609,143376.5148780362,776.5802691970501,621.4683100407406
37063000600,2474,2316,93.6,158,6.4,833,36.0,1483,64.0,309900,915,710,316244.71146408125,933.7331751843639,724.5361250064462
37063000700,1829,1723,94.2,106,5.8,795,46.1,928,53.9,294900,848,666,300937.6102315507,865.3614563457273,679.6352947243566
37063000900,860,731,85.0,129,15.0,153,20.9,578,79.1,85800,876,550,87556.61905007478,893.9347119797844,561.2603785261203
37063001001,1513,1262,83.4,251,16.6,300,23.8,962,76.2,69800,815,611,71229.04440204219,831.6858336341601,623.5092568717446
37063001002,2330,2099,90.1,231,9.9,522,24.9,1577,75.1,85300,721,560,87046.38234232375,735.7613325769687,571.4651126811407
37063001100,1474,1332,90.4,142,9.6,234,17.6,1098,82.4,100600,535,414,102659.62559950491,545.9532772935897,422.4759940178433
37063001301,692,548,79.2,144,20.8,158,28.8,390,71.2,88000,809,534,89801.66056417926,825.5629931411479,544.9328038780877
37063001303,937,698,74.5,239,25.5,205,29.4,493,70.6,100900,829,627,102965.76762415553,845.9724614511887,639.8368315197772
37063001304,1278,1151,90.1,127,9.9,226,19.6,925,80.4,117300,599,524,119701.53163838893,611.2635758857201,534.7280697230674
37063001400,1173,926,78.9,247,21.1,219,23.7,707,76.3,65000,407,365,66330.7720076324,415.33268010932903,372.4727966582435
37063001501,35,35,100.0,0,0.0,5,14.3,30,85.7,NaN,1053,,,1074.5585065236448,
37063001502,3633,3098,85.3,535,14.7,29,0.9,3069,99.1,NaN,833,701,,850.0543551131968,715.3518642669279
37063001503,0,0,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,,,
37063001601,2396,2257,94.2,139,5.8,2018,89.4,239,10.6,169400,1220,1027,172868.19658604506,1244.9775669124851,1048.0261977205919
37063001603,2667,2589,97.1,78,2.9,2371,91.6,218,8.4,182100,1121,839,185828.20896292094,1143.9506987777834,856.177195606209
37063001604,2663,2541,95.4,122,4.6,2332,91.8,209,8.2,227100,1363,1118,231749.51266051258,1390.9052653292763,1140.8892785312773
37063001705,2531,2359,93.2,172,6.8,1227,52.0,1132,48.0,157300,1066,928,160520.4682584704,1087.8246609251714,946.9993295858903
37063001706,2542,2444,96.1,98,3.9,951,38.9,1493,61.1,207800,774,699,212054.37574132328,789.8464235985766,713.3109174359238
37063001707,3267,3214,98.4,53,1.6,2337,72.7,877,27.3,219300,1161,1053,223789.8200195967,1184.769635397865,1074.5585065236448
37063001708,1824,1769,97.0,55,3.0,1216,68.7,553,31.3,156500,857,722,159704.0895260688,874.5457170852457,736.7818059924707
37063001709,2914,2682,92.0,232,8.0,697,26.0,1985,74.0,114200,886,721,116538.06405033261,904.1394461348048,735.7613325769687
37063001710,1964,1768,90.0,196,10.0,1037,58.7,731,41.3,146800,841,694,149805.49739569903,858.218142437213,708.2085503584136
37063001711,2235,2086,93.3,149,6.7,411,19.7,1675,80.3,109200,837,666,111435.69697282244,854.136248775205,679.6352947243566
37063001801,2970,2614,88.0,356,12.0,2123,81.2,491,18.8,134400,872,712,137151.62704347377,889.8528183177763,726.5770718374503
37063001802,2682,2424,90.4,258,9.6,1450,59.8,974,40.2,112500,854,624,114803.25924397916,871.4842968387395,636.7754112732711
37063001806,2314,2225,96.2,89,3.8,1896,85.2,329,14.8,151200,1118,858,154295.580423908,1140.8892785312773,875.5661905007477
37063001807,3755,3340,88.9,415,11.1,2590,77.5,750,22.5,137800,1133,843,140621.2366561807,1156.196379763808,860.2590892682172
37063001808,3147,2945,93.6,202,6.4,2535,86.1,410,13.9,220300,1347,1236,224810.29343509875,1374.577690681244,1261.3051415605178
37063001809,2689,2489,92.6,200,7.4,1087,43.7,1402,56.3,209200,972,792,213483.03852302613,991.9001598679799,808.2149450776133
37063001900,1507,1379,91.5,128,8.5,1291,93.6,88,6.4,202700,1335,1030,206849.96132226288,1362.3320096952193,1051.0876179670981
37063002007,2421,2222,91.8,199,8.2,1716,77.2,506,22.8,223100,1113,906,227667.61899850445,1135.786911453767,924.5489144448455
37063002008,1296,1255,96.8,41,3.2,1169,93.1,86,6.9,436500,1645,1141,445436.64586663916,1678.6787685008508,1164.3601670878243
37063002009,2066,1837,88.9,229,11.1,1218,66.3,619,33.7,110200,919,649,112456.17038832448,937.815068846372,662.287246660822
37063002013,2009,1911,95.1,98,4.9,1487,77.8,424,22.2,166700,1150,944,170112.91836418957,1173.5444278273426,963.3269042339228
37063002015,2698,2535,94.0,163,6.0,503,19.8,2032,80.2,181800,921,790,185522.06693827032,939.856015677376,806.1739982466092
37063002016,2713,2636,97.2,77,2.8,250,9.5,2386,90.5,168800,861,736,172255.91253674385,878.6276107472538,751.0684338094992
37063002017,3656,3609,98.7,47,1.3,2041,56.6,1568,43.4,298700,1267,1163,304815.40921045846,1292.9398174410808,1186.810582228869
37063002018,4176,3958,94.8,218,5.2,2437,61.6,1521,38.4,298700,1212,1114,304815.40921045846,1236.8137795884688,1136.807384869269
37063002019,2725,2486,91.2,239,8.8,1344,54.1,1142,45.9,278800,1109,966,284507.9882419679,1131.705017791759,985.7773193749678
37063002020,2576,2425,94.1,151,5.9,2278,93.9,147,6.1,326600,NaN,1522,333286.61750296527,,1553.1605383941003
37063002021,2303,2067,89.8,236,10.2,653,31.6,1414,68.4,250400,1114,959,255526.54324171005,1136.807384869269,978.6340054664535
37063002022,2459,2375,96.6,84,3.4,910,38.3,1465,61.7,199400,975,864,203482.39905110616,994.9615801144861,881.68903099376
37063002023,1477,1363,92.3,114,7.7,599,43.9,764,56.1,233800,943,820,238586.68454437624,962.3064308184208,836.7882007116704
37063002024,3210,2990,93.1,220,6.9,2215,74.1,775,25.9,194200,1191,1046,198175.93729049558,1215.383837862926,1067.4151926151308
37063002025,2772,2741,98.9,31,1.1,2110,77.0,631,23.0,195700,969,824,199706.64741374864,988.8387396214738,840.8700943736785
37063002026,2820,2730,96.8,90,3.2,1159,42.5,1571,57.5,138400,915,786,141233.5207054819,933.7331751843639,802.0921045846011
37063002027,4264,3994,93.7,270,6.3,1092,27.3,2902,72.7,183400,953,846,187154.82440307358,972.5111649734412,863.3205095147233
37063002028,3902,3610,92.5,292,7.5,1411,39.1,2199,60.9,174700,1107,955,178276.70568820587,1129.664070960755,974.5521118044453
37063002100,2660,2514,94.5,146,5.5,2231,88.7,283,11.3,277600,920,721,283283.42014336545,938.835542261874,735.7613325769687
37063002200,1068,894,83.7,174,16.3,270,30.2,624,69.8,261700,1220,1117,267057.8928368831,1244.9775669124851,1139.8688051157753
37063002300,378,317,83.9,61,16.1,54,17.0,263,83.0,NaN,795,588,,811.2763653241194,600.0383683151978
37063980100,0,0,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,,,
